,rating,uncertainty
Jinkx Monsoon,35.026821180025316,1.1231309956155766
Shea Couleé,33.31275515857047,1.1019509084185373
Sasha Velour,33.19469871124353,1.0382682176838813
Nina Flowers,33.09661484855495,1.2199538112707262
Alaska,32.56031006485193,1.031957729363443
Sharon Needles,32.53998337343948,1.0676473696763644
Chad Michaels,32.50982713489935,1.1196074943996541
Bob the Drag Queen,32.028484702643,1.176286105861977
Roxxxy Andrews,32.00111852078777,1.014195386122325
Raja,31.866487127644092,0.9649901382005422
Manila Luzon,31.75304039287074,0.9562555889607286
Bebe Zahara Benet,31.54853141728413,1.1379923518704715
Tyra Sanchez,31.46620402076248,1.0088274129886845
Ginger Minj,31.37181883179589,1.0231629434560674
Bianca Del Rio,31.29072163379527,1.0666470444180636
Phi Phi O'Hara,30.987939578368582,1.0219875942825811
Violet Chachki,30.75184551405168,0.969321060218681
Trinity Taylor,30.70071105186569,0.996609684583367
Peppermint,30.432258152740772,0.9637631304754983
Yara Sofia,30.35076558856884,0.9298270633038062
Aquaria,30.20568133085759,1.007031542295624
Naomi Smalls,30.17522967388816,1.1227801199443492
Kim Chi,30.151505632326103,1.0966805866825213
Alexis Mateo,30.057497881177603,0.9438847404738386
Kennedy Davenport,29.579034338886473,0.967917190947232
Latrice Royale,29.436057322735078,1.0233980780280039
Pearl,29.379584037260628,0.9540933065048551
Katya,29.172980949622954,0.9601090956162796
Raven,29.155220377703092,0.9258822919131682
Valentina,29.10646519141137,1.0031777546455642
Detox,28.921460587934178,0.9918946263403398
Alexis Michelle,28.89381890604131,1.0143351110066061
Courtney Act,28.81313536599863,1.0018592137978262
Kameron Michaels,28.235701549384107,0.9667070507687364
Rebecca Glasscock,27.982059705691594,1.0847779609633352
Adore Delano,27.977142537867756,0.9512152766542471
Eureka,27.837410039811274,0.9062150951925839
Pandora Boxx,27.63573993964821,0.9128620576775243
Ivy Winters,27.624009753443225,0.9993076400307966
Asia O'Hara,27.550768868846273,0.9555041538083169
Jujubee,27.489190465436437,0.9245036324996931
Miz Cracker,27.331441328425793,0.9755379895203923
Ongina,26.949446667282523,1.2260066527618947
Coco Montrese,26.765913523427916,0.9870300474357091
Chi Chi DeVayne,26.651178792039737,1.0880455462460086
Thorgy Thor,26.26420044057414,1.1422125366653368
